Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 INXN,RF,10,20,0,-1,0.6169014084507042,70,-1,-1,-1,41
 INXN,SVM,-1,-1,poly,-1,0.6225352112676056,70,10,3,-1,41
 INXN,KNN,-1,-1,euclidean,11,0.6112676056338028,70,-1,-1,-1,38
 INXN,RF,20,40,0,-1,0.5677233429394812,80,-1,-1,-1,57
 INXN,SVM,-1,-1,poly,-1,0.5850144092219021,80,1,3,-1,55
 INXN,KNN,-1,-1,chebyshev,11,0.5677233429394812,80,-1,-1,-1,55
 INXN,RF,30,40,0,-1,0.5457227138643068,90,-1,-1,-1,49
 INXN,SVM,-1,-1,rbf,-1,0.584070796460177,90,1,1,-1,51
 INXN,KNN,-1,-1,chebyshev,11,0.5693215339233039,90,-1,-1,-1,37
 INXN,RF,30,20,0,-1,0.5709969788519638,100,-1,-1,-1,56
 INXN,SVM,-1,-1,poly,-1,0.6072507552870091,100,100,2,-1,53
 INXN,KNN,-1,-1,euclidean,11,0.5649546827794562,100,-1,-1,-1,54
 APH,RF,20,10,0,-1,0.5727459016393442,10,-1,-1,-1,7
 APH,SVM,-1,-1,poly,-1,0.5860655737704918,10,0.5,3,-1,7
 APH,KNN,-1,-1,euclidean,11,0.5389344262295082,10,-1,-1,-1,7
 APH,RF,10,50,0,-1,0.45661157024793386,20,-1,-1,-1,13
 APH,SVM,-1,-1,poly,-1,0.47107438016528924,20,1,3,-1,14
 APH,KNN,-1,-1,euclidean,11,0.4225206611570248,20,-1,-1,-1,7
 APH,RF,40,40,0,-1,0.5208333333333334,30,-1,-1,-1,12
 APH,SVM,-1,-1,poly,-1,0.5270833333333333,30,0.5,2,-1,8
 APH,KNN,-1,-1,euclidean,11,0.4552083333333333,30,-1,-1,-1,19
 APH,RF,20,10,0,-1,0.5661764705882353,40,-1,-1,-1,36
 APH,SVM,-1,-1,rbf,-1,0.569327731092437,40,5,1,-1,37
 APH,KNN,-1,-1,euclidean,11,0.5010504201680672,40,-1,-1,-1,30
 APH,RF,10,50,0,-1,0.5963983050847458,50,-1,-1,-1,27
 APH,SVM,-1,-1,poly,-1,0.5942796610169492,50,5,4,-1,28
 APH,KNN,-1,-1,chebyshev,11,0.5455508474576272,50,-1,-1,-1,25
 APH,RF,40,40,0,-1,0.594017094017094,60,-1,-1,-1,22
 APH,SVM,-1,-1,linear,-1,0.5982905982905983,60,0.5,1,-1,22
 APH,KNN,-1,-1,chebyshev,11,0.5897435897435898,60,-1,-1,-1,22
 APH,RF,20,20,0,-1,0.6120689655172413,70,-1,-1,-1,15
 APH,SVM,-1,-1,poly,-1,0.6217672413793104,70,1,2,-1,14
 APH,KNN,-1,-1,canberra,11,0.6056034482758621,70,-1,-1,-1,19
 APH,RF,50,20,0,-1,0.625,80,-1,-1,-1,32
 APH,SVM,-1,-1,linear,-1,0.6293478260869565,80,0.5,1,-1,32
 APH,KNN,-1,-1,euclidean,11,0.5532608695652174,80,-1,-1,-1,44
 APH,RF,10,40,0,-1,0.6195175438596491,90,-1,-1,-1,69
 APH,SVM,-1,-1,linear,-1,0.6217105263157895,90,0.5,1,-1,71
 APH,KNN,-1,-1,euclidean,11,0.6085526315789473,90,-1,-1,-1,64
 APH,RF,20,40,0,-1,0.5995575221238938,100,-1,-1,-1,68
 APH,SVM,-1,-1,linear,-1,0.6139380530973452,100,0.5,1,-1,70
 APH,KNN,-1,-1,chebyshev,11,0.5873893805309734,100,-1,-1,-1,64
 
