Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 BHP,KNN,0,0,hamming,0,0.5391527599486521,50,42
 BIG,KNN,0,0,hamming,0,0.5006418485237484,50,37
 BMI,KNN,0,0,hamming,0,0.5677083333333334,50,35
 BIP,KNN,0,0,euclidean,0,0.6608695652173913,70,35
 BGX,KNN,0,0,hamming,0,0.367816091954023,80,43
 BFO,KNN,0,0,chebyshev,0,0.8021978021978022,70,57
 BGX,KNN,0,0,chebyshev,0,0.5602409638554217,90,44
 BIP,KNN,0,0,chebyshev,0,0.6409495548961425,80,45
 BKE,KNN,0,0,canberra,0,0.6446173800259404,60,35
 BHP,KNN,0,0,manhattan,0,0.6472114137483788,60,34
 BFS,KNN,0,0,manhattan,0,0.6407263294422828,60,37
 BIG,KNN,0,0,hamming,0,0.5110246433203631,60,38
 BMI,KNN,0,0,hamming,0,0.5697368421052632,60,38
 BGX,KNN,0,0,euclidean,0,0.7341772151898734,100,46
 BIP,KNN,0,0,chebyshev,0,0.7264437689969605,90,52
 BFO,KNN,0,0,chebyshev,0,0.8066914498141264,80,74
 BKE,KNN,0,0,euclidean,0,0.6264744429882044,70,36
 BFS,KNN,0,0,euclidean,0,0.6094364351245085,70,44
 BHP,KNN,0,0,hamming,0,0.5203145478374837,70,40
 BIG,KNN,0,0,braycurtis,0,0.6579292267365662,70,49
 BMI,KNN,0,0,manhattan,0,0.6742021276595744,70,50
 BIP,KNN,0,0,manhattan,0,0.7663551401869159,100,56
 BFO,KNN,0,0,hamming,0,0.6339622641509434,90,80
 BKE,KNN,0,0,braycurtis,0,0.6635761589403973,80,54
 BIG,KNN,0,0,hamming,0,0.49933774834437084,80,54
 BFS,KNN,0,0,chebyshev,0,0.5973509933774834,80,52
 BHP,KNN,0,0,chebyshev,0,0.6013245033112583,80,42
 BMI,KNN,0,0,canberra,0,0.6720430107526881,80,51
 BFO,KNN,0,0,hamming,0,0.6053639846743295,100,82
 BKE,KNN,0,0,hamming,0,0.5515394912985274,90,60
 BFS,KNN,0,0,hamming,0,0.5488621151271754,90,71
 BIG,KNN,0,0,chebyshev,0,0.5903614457831325,90,55
 BMI,KNN,0,0,hamming,0,0.5869565217391305,90,73
 BHP,KNN,0,0,manhattan,0,0.6827309236947792,90,57
 BMY,KNN,0,0,euclidean,0,0.6942046855733662,10,6
 BIG,KNN,0,0,hamming,0,0.5006765899864682,100,64
 BKE,KNN,0,0,hamming,0,0.5277401894451962,100,60
 BFS,KNN,0,0,canberra,0,0.7090663058186739,100,62
 BMI,KNN,0,0,braycurtis,0,0.646978021978022,100,66
 BHP,KNN,0,0,chebyshev,0,0.5751014884979703,100,59
 BMY,KNN,0,0,braycurtis,0,0.5815691158156912,20,4
 CAPL,KNN,0,0,braycurtis,0,0.7284768211920529,10,9
 BSMX,KNN,0,0,chebyshev,0,0.5290322580645161,10,8
 CAI,KNN,0,0,canberra,0,0.5405405405405406,10,7
 BQH,KNN,0,0,canberra,0,0.926791277258567,10,10
 BRC,KNN,0,0,euclidean,0,0.5573366214549939,10,10
 CAH,KNN,0,0,chebyshev,0,0.689272503082614,10,6
 CAG,KNN,0,0,hamming,0,0.7410604192355117,10,9
 BSMX,KNN,0,0,braycurtis,0,0.673469387755102,20,13
 CAPL,KNN,0,0,braycurtis,0,0.6573426573426573,20,12
 BMY,KNN,0,0,hamming,0,0.4037735849056604,30,15
 CAI,KNN,0,0,hamming,0,0.4714587737843552,20,16
 BQH,KNN,0,0,hamming,0,0.7034700315457413,20,16
